ljo_kin_id	assoc_exam_type	성명	name	surname	ancestral_seat	choronym	assoc_exam_year	ljo_2017_id	length
PCm_0960_000004_A1	KM	서필	徐弼	徐	利川	利川 徐	960		4
PCm_0960_000004_B1	KM	서신일	徐神逸	徐	利川	利川 徐	960		4
PCm_0964_000006_A1	KM	김준	金峻	金	光山	光山 金	964		4
PCm_0964_000006_B1	KM	김길	金吉	金	光山	光山 金	964		4
PCm_0964_000006_C1	KM	김식	金軾	金	光山	光山 金	964		4
PCm_0972_000009_D1	KM	이염악	李廉岳	李			972		0
PCm_0979_000015_A1	KM	원극유	元克猷	元	原州	原州 元	979		4
PCm_0983_000018_A1	KM	강궁진	姜弓珍	姜	衿川	衿川 姜	983		4
PCm_0991_000025_A1	KM	최광원	崔光元	崔	慶州	慶州 崔	991		4
PCm_0991_000025_B1	KM	최언위	崔彦撝	崔	慶州	慶州 崔	991		4
PCm_0994_000027_A1	KM	최량	崔亮	崔	慶州	慶州 崔	994	PCm_9999_000012	4
PCm_0996_000031_A1	KM	서희	徐熙	徐	利川	利川 徐	996	PCm_0960_000004	4
PCm_0996_000031_B1	KM	서필	徐弼	徐	利川	利川 徐	996		4
PCm_0996_000031_C1	KM	서신일	徐神逸	徐	利川	利川 徐	996		4
PCm_0997_000039_A1	KM	허현	許玄	許	陽川	陽川 許	997	PCm_9999_000016	4
PCm_0997_000039_B1	KM	허선문	許宣文	許	陽川	陽川 許	997		4
PCm_1005_000044_A1	KM	최온	崔溫	崔	海州	海州 崔	1005		4
PCm_1024_000065_A1	KM	이한	李翰	李	仁川	仁川 李	1024		4
PCm_1024_000065_B1	KM	이허겸	李許謙	李	仁川	仁川 李	1024		4
PCm_1030_000068_A1	KM	최충	崔冲	崔	海州	海州 崔	1030	PCm_1005_000044	4
PCm_1030_000068_B1	KM	최온	崔溫	崔	海州	海州 崔	1030		4
PCm_1035_000080_A1	KM	홍현	洪顯	洪	南陽[唐]	南陽[唐] 洪	1035		7
PCm_1035_000080_B1	KM	홍의	洪毅	洪	南陽[唐]	南陽[唐] 洪	1035		7
PCm_1035_000080_C1	KM	홍동주	洪東周	洪	南陽[唐]	南陽[唐] 洪	1035		7
PCm_1035_000080_D1	KM	홍섭	洪渉	洪			1035		0
PCm_1035_000082_A1	KM	최응규	최응규	崔	耽津	耽津 崔	1035		4
PCm_1035_000083_A1	KM	최항	崔沆	崔	慶州	慶州 崔	1035	PCm_0991_000025	4
PCm_1035_000083_B1	KM	최광원	崔光遠	崔	慶州	慶州 崔	1035		4
PCm_1035_000083_C1	KM	최언위	崔彦撝	崔	慶州	慶州 崔	1035		4
PCm_1046_000093_A1	KM	고말로	高末老	高	濟州	濟州 高	1046		4
PCm_1046_000093_B1	KM	고자견	高自堅	高	濟州	濟州 高	1046		4
PCm_1051_000102_A1	KM	최원립	崔爰立	崔	東州	東州 崔	1051		4
PCm_1051_000102_B1	KM	최은숙	崔殷叔	崔	東州	東州 崔	1051		4
PCm_1051_000102_C1	KM	최준옹	崔俊邕	崔	東州	東州 崔	1051		4
PCm_1051_000105_A1	KM	박충후	朴忠厚	朴	竹山	竹山 朴	1051		4
PCm_1051_000105_B1	KM	박종	朴琮	朴	竹山	竹山 朴	1051		4
PCm_1054_000110_A1	KM	최유선	崔惟善	崔	海州	海州 崔	1054	PCm_1030_000068	4
PCm_1054_000110_B1	KM	최충	崔冲	崔	海州	海州 崔	1054	PCm_1005_000044	4
PCm_1054_000110_C1	KM	최온	崔溫	崔	海州	海州 崔	1054		4
PCm_1063_000116_A1	KM	최유길	崔惟吉	崔	海州	海州 崔	1063		4
PCm_1063_000116_B1	KM	최충	崔冲	崔	海州	海州 崔	1063	PCm_1005_000044	4
PCm_1063_000116_C1	KM	최온	崔溫	崔	海州	海州 崔	1063		4
