ljo_2017_id	label	성명	name	f_name	r_name	a_name	字	號	諡號	birth_year	death_year	exam_year	status	posts	choronym	residence
PMn_1393_000001	MN	송개신	宋介臣	宋介立						1373		1393	生員		洪州 宋	
PMn_1393_000002	MN	김효원	金孝源			金孝元				1370		1393	生員	兵曹參議	金海 金	
PMn_1393_000003+M	MN	이담	李擔							1370	1405	1393	生員	代言	慶州 李	
PMn_1393_000004	MN	탁함	卓諴							1345		1393	生員		光山 卓	
PMn_1393_000005	MN	윤정	尹定							1376		1393	生員		咸安 尹	
PMn_1393_000006	MN	변계손	卞季孫							1368		1393	生員	司諫院司諫	草溪 卞	
PMn_1393_000007	MN	변처후	邊處厚							1373	1437	1393	生員	參判	長淵 邊	
PMn_1393_000008+M	MN	신개	申槩				子格		文僖	1374	1446	1393	生員	翰林	平山 申	
PMn_1393_000009	MN	홍중강	洪仲剛			洪汝剛				1373		1393	生員	翰林	南陽[唐] 洪	
PMn_1393_000010+M	MN	이숙번	李叔蕃							1373	1440	1393	生員	贊成	安城 李	
PMn_1393_000011	MN	소호인	蘇好仁							1356		1393	進士		晉州 蘇	
PMn_1393_000012	MN	유흡	柳洽			柳合				1356		1393	生員	珍州知事	白川 柳	
PMn_1393_000013	MN	김식	金湜							1356		1393	生員	刑曹判書		
PMn_1393_000014+M	MN	서선	徐選							1367	1433	1393	生員	代言	利川 徐	
PMn_1393_000015	MN	김효손	金孝孫							1373	1429	1393	生員	司憲府大司憲	義城 金	
PMn_1393_000016+M	MN	이초	李椒							1372		1393	生員	成均館司成	光山 李	
PMn_1393_000017	MN	한겸	韓兼							1365		1393	生員	司諫院獻納	平山 韓	
PMn_1393_000018+M	MN	송호	宋瑚							1373		1393	生員	卞正副使	泰仁 宋	
PMn_1393_000019	MN	유의	柳儀							1373		1393	生員	縣監	高興 柳	
PMn_1393_000020	MN	나득경	羅得卿							1369		1393	生員		羅州 羅	
PMn_1393_000021	MN	최예	崔汭							1371		1393	生員	成均館司成	慶州 崔	
PMn_1393_000022	MN	민안	閔顔							1350		1393	生員	監務	驪興 閔	
PMn_1393_000023	MN	박조	朴澡									1393	生員	郡守		
PMn_1393_000024	MN	한련	韓璉							1367		1393	生員			
PMn_1393_000025+M	MN	황현	黃鉉							1372		1393	生員	成均館大司成	平海 黃	
PMn_1393_000026	MN	이중명	李仲明							1370		1393	生員			
PMn_1393_000027	MN	김자린	金自麟							1372		1393	別將	府使	光山 金	
PMn_1393_000028+M	MN	이관	李灌								1418	1393	生員	吏曹參判	仁川 李	
PMn_1393_000029	MN	오상명	吳尙明							1371		1393	生員			
PMn_1393_000030+M	MN	유사눌	柳思訥				而行		文肅	1365	1440	1393	生員	藝文館大提學	文化 柳	
PMn_1393_000031	MN	문가용	文可容			文可用						1393	生員			
PMn_1393_000032	MN	민인생	閔麟生							1373		1393	生員	主簿	驪興 閔	
PMn_1393_000033	MN	배둔	裵屯							1374		1393	生員	監司	興海 裵	
PMn_1396_000034+M	MN	김익정	金益精				子斐				1436	1396	生員	吏曹參判	安東[舊] 金	
PMn_1396_000035	MN	이종화	李種華			李終華						1396	進士	司諫院正言	長水 李	
PMn_1396_000036	MN	최순	崔洵									1396	生員	監司	忠州 崔	
PMn_1396_000037	MN	이명덕	李明德						恭肅			1396	生員	判中樞府事	公州 李	
PMn_1396_000038+M	MN	금유	琴柔									1396	幼學	監司	奉化 琴	
PMn_1396_000039+M	MN	하연	河演				淵亮		文孝	1376	1453	1396	生員	議政府領議政	晉陽 河	京
PMn_1396_000040+M	MN	조유인	曹由仁									1396	生員	府使	南平 曹	
PMn_1396_000041	MN	은여림	殷汝霖									1396	生員	司諫院獻納	幸州 殷	
PMn_1396_000042	MN	곽존중	郭存中								1428	1396	生員	吏曹判書	淸州 郭	
PMn_1396_000043	MN	김섭	金涉									1396	生員	成均館大司成	義城 金	
PMn_1396_000044	MN	한이	韓彛									1396	生員	判官	扶安 韓	
PMn_1396_000045	MN	윤상	尹祥	尹哲			實夫			1373	1455	1396	生員	提學	醴泉 尹	
PMn_1396_000046+M	MN	한고	韓皐								1407	1396	協律郞	司諫院獻納	漢陽 韓	
PMn_1396_000047+M	MN	유의	柳顗									1396	內侍府直長	提學	文化 柳	
PMn_1396_000048+M	MN	심도원	沈道源						敬肅	1375	1439	1396	生員	刑曹判書	富有 沈	
PMn_1396_000049	MN	이경생	李敬生		李陽明							1396	生員	成均館司藝	江陽 李	
PMn_1396_000050	MN	정조	鄭慥			許慥						1396	生員	繕工監正	東萊 鄭	
PMn_1396_000051+M	MN	김겸	金謙							1375	1425	1396	生員	監司	慶州 金	
PMn_1396_000052	MN	정지	鄭墀			鄭穉						1396	生員	司諫院獻納		
PMn_1396_000053	MN	유순도	庾順道									1396	生員	藝文館提學	茂松 庾	
PMn_1396_000054	MN	서륜	徐倫									1396	生員	敎授		
PMn_1396_000055	MN	김종리	金從理									1396	生員	藝文館直提學	善山 金	
PMn_1396_000056	MN	노이	盧異									1396	生員	司諫院正言		
PMn_1396_000057+M	MN	이종	李從				事疑					1396	生員	縣令	慶州 李	
PMn_1396_000058	MN	정여	鄭餘									1396	生員	承文院校勘		
PMn_1396_000059	MN	김재사	金再思									1396	生員			
PMn_1396_000060	MN	정재	鄭載									1396	生員	司諫院正言		
PMn_1396_000061	MN	한승안	韓承顔								1421	1396	生員	摠制	淸州 韓	
PMn_1396_000062+M	MN	유몽	柳蒙			柳義						1396	生員	副正	白川 柳	
PMn_1396_000063+M	MN	곽덕연	郭德淵									1396	生員	司憲府掌令	玄風 郭	
PMn_1396_000064	MN	민의생	閔義生				宜之		魏肅	1379	1444	1396	生員	提學	驪興 閔	
PMn_1396_000065	MN	윤발	尹發									1396	生員	敎授	坡平 尹	
PMn_1396_000066	MN	조중림	曺仲林									1396	生員	府尹	昌寧 曺	
PMn_1399_000067	MN	전가식	田可植				美哉					1399	生員	知郡事	潭陽 田	
PMn_1399_000068	MN	김반	金泮				詞源					1399	生員	成均館大司成	文化 金	
PMn_1399_000069+M	MN	유박	柳博									1399	生員	司憲府執義	文化 柳	
PMn_1399_000070+M	MN	최진성	崔進誠									1399	生員	議政府舍人	全州 崔	
PMn_1399_000071	MN	김렴	金濂									1399	生員	府尹	咸興 金	
PMn_1399_000072+M	MN	박광선	朴光先									1399	生員	成均館直講	春川 朴	
PMn_1399_000073	MN	김구연	金九淵									1399	生員			
PMn_1399_000074+M	MN	박안신	朴安信						貞肅			1399	生員	大提學	尙州 朴	
PMn_1399_000075+M	MN	오선경	吳先敬				直夫					1399	生員	議政府舍人	海州 吳	
PMn_1399_000076+M	MN	김복항	金復恒									1399	生員	藝文館直提學	商山 金	
PMn_1399_000077	MN	이양부	李陽敷									1399	生員	摠制	永興 李	
PMn_1399_000078	MN	유익지	柳益之			柳翼之						1399	進士	司諫院獻納	全州 柳	
PMn_1399_000079	MN	조서	趙敍						安靖	1370	1429	1399	生員	提學	漢陽 趙	
PMn_1399_000080+M	MN	김훈	金訓									1399	生員	典祀寺少尹	永同 金	
