source	target	relationship
pm000003	pm000004	HAS_SON_MGB
pm000004	pm000005	HAS_SON_MGB
pm000005	pm000006	HAS_SON_MGB
pm000005w	pm000005	HAS_SIL_MGB
pm000009	pm000010	HAS_SON_MGB
pm000009w1	pm000009	HAS_SIL_MGB
pm000009w2	pm000009	HAS_SIL_MGB
pm000010	pm000011	HAS_SON_MGB
pm000011	pm000012	HAS_SON_MGB
pm000012w	pm000012	HAS_SIL_MGB
pm000013	pm000014	HAS_SON_MGB
pm000013	pm000022	HAS_SON_MGB
pm000013w	pm000013	HAS_SIL_MGB
pm000014	pm000015	HAS_SON_MGB
pm000014	pm000024	HAS_SON_MGB
pm000014w	pm000014	HAS_SIL_MGB
pm000015	pm000016	HAS_SON_MGB
pm000015	pm000018	HAS_SON_MGB
pm000015	pm000019	HAS_SON_MGB
pm000016	pm000017	HAS_SON_MGB
pm000016	pm000020	HAS_SON_MGB
pm000016w	pm000016	HAS_SIL_MGB
pm000017w1	pm000017	HAS_SIL_MGB
pm000017w2	pm000017	HAS_SIL_MGB
pm000018	pm000021	HAS_SON_MGB
pm000018w	pm000018	HAS_SIL_MGB
pm000020w	pm000020	HAS_SIL_MGB
pm000021w	pm000021	HAS_SIL_MGB
pm000024w	pm000024	HAS_SIL_MGB
pm000026	pm000027	HAS_SON_MGB
pm000026	pm000085	HAS_SON_MGB
pm000026w	pm000026	HAS_SIL_MGB
pm000027	pm000028	HAS_SON_MGB
pm000027	pm000029	HAS_SON_MGB
pm000027	pm000034	HAS_SON_MGB
pm000027	pm000035	HAS_SON_MGB
pm000027	pm000054	HAS_SON_MGB
pm000027	pm000055	HAS_SON_MGB
pm000027	pm000069	HAS_SON_MGB
pm000027w1	pm000027	HAS_SIL_MGB
pm000027w2	pm000027	HAS_SIL_MGB
pm000029	pm000031	HAS_SON_MGB
pm000029w	pm000029	HAS_SIL_MGB
pm000031	pm000032	HAS_SON_MGB
pm000031	pm000042	HAS_SON_MGB
pm000031w	pm000031	HAS_SIL_MGB
pm000032w	pm000032	HAS_SIL_MGB
pm000034	pm000038	HAS_SIL_MGB
pm000034	pm000036	HAS_SON_MGB
pm000034	pm000037	HAS_SON_MGB
pm000034	pm000039	HAS_SON_MGB
pm000034w	pm000034	HAS_SIL_MGB
pm000035	pm000041	HAS_SON_MGB
pm000035w	pm000035	HAS_SIL_MGB
pm000036	pm000043	HAS_SON_MGB
pm000036w	pm000036	HAS_SIL_MGB
pm000037w	pm000037	HAS_SIL_MGB
pm000038	pm000045	HAS_SON_MGB
pm000038w	pm000038	HAS_SIL_MGB
pm000041w	pm000041	HAS_SIL_MGB
pm000043w	pm000043	HAS_SIL_MGB
pm000045	pm000047	HAS_SON_MGB
pm000045w1	pm000045	HAS_SIL_MGB
pm000045w2	pm000045	HAS_SIL_MGB
pm000047	pm000048	HAS_SON_MGB
pm000047	pm000049	HAS_SON_MGB
pm000047w	pm000047	HAS_SIL_MGB
pm000048	pm000050	HAS_SON_MGB
pm000048w	pm000048	HAS_SIL_MGB
pm000049	pm000051	HAS_SON_MGB
pm000051	pm000052	HAS_SON_MGB
pm000052	pm000053	HAS_SON_MGB
pm000054	pm000056	HAS_SON_MGB
pm000054	pm000057	HAS_SON_MGB
pm000055	pm000058	HAS_SON_MGB
pm000055	pm000059	HAS_SON_MGB
pm000055	pm000070	HAS_SON_MGB
pm000055	pm000071	HAS_SON_MGB
pm000055w	pm000055	HAS_SIL_MGB
pm000057	pm000065	HAS_SON_MGB
pm000058	pm000066	HAS_SON_MGB
pm000058	pm000067	HAS_SON_MGB
pm000058w	pm000058	HAS_SIL_MGB
pm000059	pm000068	HAS_SON_MGB
pm000059w	pm000059	HAS_SIL_MGB
pm000067w	pm000067	HAS_SIL_MGB
pm000068w	pm000068	HAS_SIL_MGB
pm000069	pm000072	HAS_SON_MGB
pm000069	pm000073	HAS_SON_MGB
pm000069	pm000087	HAS_SON_MGB
pm000069	pm000088	HAS_SON_MGB
pm000069w	pm000069	HAS_SIL_MGB
pm000070	pm000074	HAS_SON_MGB
pm000070	pm000075	HAS_SON_MGB
pm000070w	pm000070	HAS_SIL_MGB
pm000071	pm000076	HAS_SON_MGB
pm000072	pm000077	HAS_SON_MGB
pm000072	pm000078	HAS_SON_MGB
pm000072	pm000079	HAS_SON_MGB
pm000072	pm000080	HAS_SON_MGB
pm000072w	pm000072	HAS_SIL_MGB
pm000073	pm000082	HAS_SON_MGB
pm000073	pm000083	HAS_SON_MGB
pm000077w	pm000077	HAS_SIL_MGB
pm000085	pm000086	HAS_SON_MGB
pm000086	pm000089	HAS_SON_MGB
pm000086	pm000090	HAS_SON_MGB
pm000086	pm000091	HAS_SON_MGB
pm000087	pm000092	HAS_SON_MGB
pm000088	pm000094	HAS_SON_MGB
pm000088	pm000095	HAS_SON_MGB
pm000088w	pm000088	HAS_SIL_MGB
pm000089	pm000096	HAS_SON_MGB
pm000090	pm000097	HAS_SON_MGB
pm000091	pm000098	HAS_SON_MGB
pm000091	pm000099	HAS_SON_MGB
pm000091	pm000100	HAS_SON_MGB
pm000094w	pm000094	HAS_SIL_MGB
pm000095w	pm000095	HAS_SIL_MGB
pm000097	pm000102	HAS_SON_MGB
pm000097w	pm000097	HAS_SIL_MGB
pm000102	pm000103	HAS_SON_MGB
pm000102w	pm000102	HAS_SIL_MGB
pm000103	pm000104	HAS_SON_MGB
pm000103w	pm000103	HAS_SIL_MGB
pm000104	pm000105	HAS_SON_MGB
pm000104	pm000106	HAS_SON_MGB
pm000104w	pm000104	HAS_SIL_MGB
pm000105	pm000107	HAS_SON_MGB
pm000105	pm000108	HAS_SON_MGB
pm000105w	pm000105	HAS_SIL_MGB
pm000106	pm000109	HAS_SON_MGB
pm000106w	pm000106	HAS_SIL_MGB
pm000107	pm000110	HAS_SON_MGB
pm000107w	pm000107	HAS_SIL_MGB
pm000108	pm000111	HAS_SON_MGB
pm000108w1	pm000108	HAS_SIL_MGB
pm000108w2	pm000108	HAS_SIL_MGB
pm000109	pm000112	HAS_SON_MGB
pm000109w	pm000109	HAS_SIL_MGB
pm000110	pm000113	HAS_SON_MGB
pm000110w	pm000110	HAS_SIL_MGB
pm000111	pm000114	HAS_SON_MGB
pm000111w	pm000111	HAS_SIL_MGB
pm000112	pm000115	HAS_SON_MGB
pm000113	pm000116	HAS_SON_MGB
pm000113w	pm000113	HAS_SIL_MGB
pm000114	pm000117	HAS_SON_MGB
pm000114w	pm000114	HAS_SIL_MGB
pm000116	pm000118	HAS_SON_MGB
pm000116w	pm000116	HAS_SIL_MGB
pm000117	pm000119	HAS_SON_MGB
pm000117w	pm000117	HAS_SIL_MGB
pm000118w	pm000118	HAS_SIL_MGB
pm000119w	pm000119	HAS_SIL_MGB
pm000120	pm000123	HAS_SON_MGB
pm000120	pm000124	HAS_SON_MGB
pm000120w1	pm000120	HAS_SIL_MGB
pm000120w2	pm000120	HAS_SIL_MGB
pm000120w3	pm000120	HAS_SIL_MGB
pm000123	pm000127	HAS_SON_MGB
pm000123w	pm000123	HAS_SIL_MGB
pm000124	pm000128	HAS_SON_MGB
pm000124	pm000129	HAS_SON_MGB
