biog_id	name	성명	name_alt	name_alt2	choronym	office_final	reference	vol	page	side	checked
C206438	權幸	권행	權行		權幸	三韓壁上功臣 三重大匡 太師	安東權氏成化譜	1	1	a	1
C206439	權仁幸	권인행			安東 權	郎中	安東權氏成化譜	1	1	a	1
C206441	權冊	권책			安東 權	戶長正朝	安東權氏成化譜	1	1	a	1
C206442	權均漢	권균한			安東 權	右一品別將	安東權氏成化譜	1	1	a	1
C206443	權子彭	권자팽			安東 權	戶長正朝	安東權氏成化譜	1	1	a	1
C206444	權先蓋	권선개			安東 權	戶長同正 翼牙校尉	安東權氏成化譜	1	1	a	1
C206445	權廉	권렴			安東 權	戶長同正 行陪戎校尉	安東權氏成化譜	1	1	a	1
C206446	權利輿	권이여			安東 權	戶長	安東權氏成化譜	1	1	a	1
D206447	權仲時	권중시			安東 權	保勝別將 副戶長中允	安東權氏成化譜	1	1	a	1
D206448	權就宜	권취의			安東 權	戶長	安東權氏成化譜	1	1	a	1
D206449	權通	권통			安東 權	戶長	安東權氏成化譜	1	1	a	1
D206450	權守平	권수평			安東 權	樞密院副使	安東權氏成化譜	1	1	a	1
D206451	權韙	권위			安東 權	判太僕寺事 翰林學士	安東權氏成化譜	1	1	a	1
D206452	權㫜	권단			安東 權	贊成事	安東權氏成化譜	1	1	a	1
D206454	金軌	김연성	金鍊成		慶州 金	僕射	安東權氏成化譜	1	1	a	1
D206457	權仁紀	권인기			安東 權	少尹	安東權氏成化譜	1	1	a	1
D206458	權英運	권영운			安東 權	 	安東權氏成化譜	1	1	a	1
D206459	權方紀	권방기			安東 權	 	安東權氏成化譜	1	1	a	1
D206460	權之紀	권지기			安東 權	僕射	安東權氏成化譜	1	1	a	1
D206461	權瑩	권영			安東 權	 	安東權氏成化譜	1	1	a	1
D206462	權評	권평			安東 權	 	安東權氏成化譜	1	1	a	1
D206463	權次平	권차평			安東 權	精勇別將 食祿正	安東權氏成化譜	1	1	a	1
D206464	權性源	권성원	權達元		安東 權	大禪師	安東權氏成化譜	1	1	a	1
D400070	權溥	권부	權永		安東 權	政丞	安東權氏成化譜	1	1	a	1
D206465	權守洪	권수홍			安東 權	副戶長	安東權氏成化譜	1	1	b	1
D206466	權子輿	권자여			安東 權	檢校大護軍	安東權氏成化譜	1	1	b	1
D206467	權頙	권책	權允宜		安東 權	僉議評理	安東權氏成化譜	1	1	b	1
D206469	權漢功	권한공			安東 權	都僉議政丞 醴泉府院君	安東權氏成化譜	1	1	b	1
D206472	權漢有	권한유			安東 權	平章事 門下平章 都評議司事	安東權氏成化譜	1	1	b	1
D206474	權允平	권윤평	權允成		安東 權	左僕射	安東權氏成化譜	1	1	b	1
D206475	權具	권구			安東 權	護軍	安東權氏成化譜	1	1	b	1
D206477	權重	권중			安東 權	中門祗候	安東權氏成化譜	1	1	b	1
D206478	權萬	권만				進士	安東權氏成化譜	1	1	b	1
D206480	權允保	권윤보	權允仁		安東 權	中門祗候	安東權氏成化譜	1	1	b	1
D206481	權泂	권형			安東 權	 	安東權氏成化譜	1	1	b	1
D206482	權演	권연			安東 權	忠州判官	安東權氏成化譜	1	1	b	1
D206483	姜昌貴	강창귀			晋州 姜	侍中	安東權氏成化譜	1	1	b	1
D206485	權確	권확	權憺		安東 權	令同正	安東權氏成化譜	1	1	b	1
D206486	李五椿	이오춘				典客	安東權氏成化譜	1	1	b	1
D206488	權珥	권이			安東 權	禮賓卿	安東權氏成化譜	1	1	b	1
D206489	權居南	권거남	權約		安東 權	奉翊	安東權氏成化譜	1	1	b	1
D206490	權祖如	권조여			安東 權	三重	安東權氏成化譜	1	1	b	1
D206491	權份	권빈			安東 權	中門祗候	安東權氏成化譜	1	1	b	1
D206492	權德秀	권덕수			安東 權	 	安東權氏成化譜	1	1	b	1
D206493	權用一	권용일			安東 權	郎將	安東權氏成化譜	1	1	b	1
D206495	權咸	권함	權成			令同正	安東權氏成化譜	1	1	b	1
D206497	孫洪祐	손홍우			一直 孫	 	安東權氏成化譜	1	1	b	1
D206499	金允侃	김윤간			原州 金	衛尉寺主簿	安東權氏成化譜	1	1	b	1
D206501	金時寶	김시보			原州 金	密成	安東權氏成化譜	1	1	b	1
D206502	金良信	김양신			原州 金	五尉	安東權氏成化譜	1	1	b	1
D206503	金鼎臣	김정신			原州 金	令同正	安東權氏成化譜	1	1	b	1
D206504	金景流	김경류			原州 金	禪師	安東權氏成化譜	1	1	b	1
D206505	金用珠	김용주			原州 金	大選	安東權氏成化譜	1	2	a	1
D206506	曹誼	조의				 	安東權氏成化譜	1	2	a	1
D206508	權莅	권리	權荏			 	安東權氏成化譜	1	2	a	1
D206510	金資	김자			原州 金	錄事	安東權氏成化譜	1	2	a	1
D206511	方乞	방걸			溫陽 方	戶長	安東權氏成化譜	1	2	a	1
D206513	張茂	장무				戶長	安東權氏成化譜	1	2	a	1
D206515	姜希京	강희경				隊正	安東權氏成化譜	1	2	a	1
D206517	權良俊	권양준	權俊良		安東 權	戶長 二品別將	安東權氏成化譜	1	2	a	1
D206519	權精	권정	權粹		安東 權	正位 戶長	安東權氏成化譜	1	2	a	1
D206520	權奕	권혁			安東 權		安東權氏成化譜	1	2	a	1
D206521	金利堅	김이견				戶長	安東權氏成化譜	1	2	a	1
D206523	權美	권미				戶長	安東權氏成化譜	1	2	a	1
D206525	權景	권경				 	安東權氏成化譜	1	2	a	1
D206526	金譿	김혜				直長	安東權氏成化譜	1	2	a	1
D206528	權棣和	권체화			安東 權	京校尉	安東權氏成化譜	1	2	a	1
D206529	權傅	권부	權法史		安東 權	 	安東權氏成化譜	1	2	a	1
D206530	權得元	권득원	權大莊		安東 權	禪師	安東權氏成化譜	1	2	a	1
D206531	權英正	권영정			安東 權	戶長	安東權氏成化譜	1	2	a	1
D206532	權均柱	권균주	權桂		安東 權	 	安東權氏成化譜	1	2	a	1
D206533	權均碩	권균석			安東 權	戶長	安東權氏成化譜	1	2	a	1
D206534	權直成	권직성			安東 權	戶長 大相	安東權氏成化譜	1	2	a	1
D206535	權伯	권백			安東 權	 	安東權氏成化譜	1	2	a	1
D206537	權呂	권여			安東 權	 	安東權氏成化譜	1	2	a	1
D206538	權允諧	권윤해			安東 權	 	安東權氏成化譜	1	2	a	1
D206794	萬年	만년				 	安東權氏成化譜	1	2	a	1
D206796	允文	윤문				 	安東權氏成化譜	1	2	a	1
D206797	金碁	김기				 	安東權氏成化譜	1	2	a	1
D200005	洪師瑗	홍사원			南陽 洪	判書	安東權氏成化譜	1	2	b	1
D206871	忠肅王	충숙왕	王卍		開城 王		安東權氏成化譜	1	2	b	1
D206873	忠惠王	충혜왕	王禎		開城 王		安東權氏成化譜	1	2	b	1
D400343	元龜壽	원구수			原州 元	宰臣	安東權氏成化譜	1	2	b	1
D400365	元松壽	원송수			原州 元	政堂文學	安東權氏成化譜	1	2	b	1
D400429	權鑄	권주			安東 權	密直提學	安東權氏成化譜	1	2	b	1
D401000	廉大侑	염대유	廉大有		瑞原 廉	密直	安東權氏成化譜	1	2	b	1
D401422	柳惠孫	유혜손	柳惠蓀		晋州 柳	評理	安東權氏成化譜	1	2	b	1
D401439	權廉	권렴	權衡		安東 權	贊成事 玄福君	安東權氏成化譜	1	2	b	1
D401564	吳仲和	오중화				僕射	安東權氏成化譜	1	2	b	1
D401698	廉國寶	염국보			瑞原 廉	判開城府事 曲城君	安東權氏成化譜	1	2	b	1
D402052	權鎬	권호			安東 權	密直	安東權氏成化譜	1	2	b	1
D402197	權準	권준			安東 權	吉昌府院君	安東權氏成化譜	1	2	b	1
D402198	權鏞	권용	權鎰		安東 權	玄城君	安東權氏成化譜	1	2	b	1
D402211	普達實理	보달실리				翰林承旨	安東權氏成化譜	1	2	b	1
D402227	權鉉	권현			安東 權	贊成事	安東權氏成化譜	1	2	b	1
D402248	權鈞	권균			安東 權	花山君	安東權氏成化譜	1	2	b	1
D402259	權迪	권적	權適		安東 權	檢校侍中	安東權氏成化譜	1	2	b	1
D402261	韓脩	한수			淸州 韓	判厚德府事	安東權氏成化譜	1	2	b	1
D402274	權顯	권현			安東 權	密直	安東權氏成化譜	1	2	b	1
D402279	洪鐸	홍탁			南陽 洪	益城府院君	安東權氏成化譜	1	2	b	1
D402280	洪尙載	홍상재			南陽 洪	評理	安東權氏成化譜	1	2	b	1
D402285	洪惠贊	홍혜찬			南陽 洪	大禪師	安東權氏成化譜	1	2	b	1
D402288	趙興門	조흥문	趙日新		平壤 趙	少府尹	安東權氏成化譜	1	2	b	1
D402289	洪開道	홍개도			南陽 洪	代言	安東權氏成化譜	1	2	b	1
D402290	洪昌道	홍창도			南陽 洪	 	安東權氏成化譜	1	2	b	1
D200028	楊之壽	양지수			淸州 楊	贊成書	安東權氏成化譜	1	3	a	1
D201678	安景	안경			竹山 安	少監	安東權氏成化譜	1	3	a	1
D201738	崔仁富	최인부			大寧 崔	大護軍	安東權氏成化譜	1	3	a	1
D201776	鄭修道	정수도			草溪 鄭	判書	安東權氏成化譜	1	3	a	1
D400443	鄭思道	정사도	鄭良弼		延日 鄭	政堂	安東權氏成化譜	1	3	a	1
D400727	安國瑞	안국서			竹山 安		安東權氏成化譜	1	3	a	1
D401075	柳淵	유연			晋州 柳	贊成	安東權氏成化譜	1	3	a	1
D401077	洪彦博	홍언박			南陽 洪	右政丞	安東權氏成化譜	1	3	a	1
D401808	李齊賢	이제현	李之公		慶州 李	政丞 雞林府院君	安東權氏成化譜	1	3	a	1
D402303	洪師普	홍사보			南陽 洪		安東權氏成化譜	1	3	a	1
D402313	洪師禹	홍사우			南陽 洪	知密直	安東權氏成化譜	1	3	a	1
D402327	安惟忠	안유충			竹山 安	判書	安東權氏成化譜	1	3	a	1
D402328	安國祥	안국상			竹山 安	寺丞	安東權氏成化譜	1	3	a	1
D402334	金珠慶	김주경			安山 金	判書	安東權氏成化譜	1	3	a	1
D402335	金利	김리	金利用		安山 金	別將	安東權氏成化譜	1	3	a	1
D402338	柳季高	유계고			文化 柳	祗候	安東權氏成化譜	1	3	a	1
D402340	王瑜	왕유			開城 王	永昌大君	安東權氏成化譜	1	3	a	1
D402352	金之甲	김지갑			彦陽 金	判書	安東權氏成化譜	1	3	a	1
D402353	金翰	김한			彦陽 金	宗簿令	安東權氏成化譜	1	3	a	1
D402366	朴三陽	박삼양	朴三暘			 	安東權氏成化譜	1	3	a	1
D402367	金憲	김헌			彦陽 金	左尹	安東權氏成化譜	1	3	a	1
