id	title	name	birthyear	deathyear	choronym
ITKC_MI_0001A	계원필경집(桂苑筆耕集)	최치원(崔致遠)	857년(통일신라 헌안왕 1)	미상	경주(慶州)
ITKC_MI_0002A	고운집(孤雲集)	최치원(崔致遠)	857년(통일신라 헌안왕 1)	미상	경주(慶州)
ITKC_MI_0003A	서하집(西河集)	임춘(林椿)	미상	미상	예천(醴泉)
ITKC_MI_0004A	동국이상국집(東國李相國集)	이규보(李奎報)	1168년(고려 의종 22)	1241년(고려 고종 28)	여주(驪州)
ITKC_MI_0005A	매호유고(梅湖遺稿)	진화(陳澕)	미상	미상	여양(驪陽)
ITKC_MI_0006A	남양시집(南陽詩集)	백비화(白賁華)	1180년(명종 10)	1224년(고종 11)	남포(藍浦)
ITKC_MI_0007A	지포집(止浦集)	김구(金坵)	1211년(고려 희종 7)	1278년(충렬왕 4)	부령(扶寧)
ITKC_MI_0008A	동안거사집(動安居士集)	이승휴(李承休)	1224년(고려 고종 11)	1300년(충렬왕 26)	가리(嘉利)
ITKC_MI_0009A	홍애유고(洪崖遺槀)	홍간(洪侃)	미상	1304년(고려 충렬왕 30)	풍산(豐山)
ITKC_MI_0010A	근재집(謹齋集)	안축(安軸)	1282년(고려 충렬왕 8)	1348년(충목왕 4)	순흥(順興)
ITKC_MI_0011A	익재난고(益齋亂藁)	이제현(李齊賢)	1287년(고려 충렬왕 13)	1367년(공민왕 16)	경주(慶州)
ITKC_MI_0012A	졸고천백(拙藁千百)	최해(崔瀣)	1287년(고려 충렬왕 13)	1340년(충혜왕 복위 1)	경주(慶州)
ITKC_MI_0013A	급암시집(及菴詩集)	민사평(閔思平)	1295년(고려 충렬왕 21)	1359년(공민왕 8)	여흥(驪興)
ITKC_MI_0014A	가정집(稼亭集)	이곡(李穀)	1298년(고려 충렬왕 24)	1351년(충정왕 3)	한산(韓山)
ITKC_MI_0015A	설곡집(雪谷集)	정포(鄭誧)	1309년(고려 충선왕 1)	1345년(충목왕 1)	청주(淸州)
ITKC_MI_0016A	제정집(霽亭集)	이달충(李達衷)	1309년(고려 충선왕 1)	1385년(우왕 11)	경주(慶州)
ITKC_MI_0017A	담암일집(淡庵逸集)	백문보(白文寶)	1303년(고려 충렬왕 29)	1374년(공민왕 23)	직산(稷山)
ITKC_MI_0018A	둔촌잡영(遁村雜詠)	이집(李集)	1327년(고려 충숙왕 14)	1387년(우왕 13)	광주(廣州)
ITKC_MI_0019A	야은일고(壄隱逸稿)	전녹생(田祿生)	1318년(고려 충숙왕 5)	1375년(우왕 1)	담양(潭陽)
ITKC_MI_0020A	목은고(牧隱藁)	이색(李穡)	1328년(고려 충숙왕 15)	1396년(태조 5)	한산(韓山)
ITKC_MI_0021A	원재고(圓齋槀)	정추(鄭樞)	1333년(고려 충숙왕 복위 2)	1382년(우왕 8)	청주(淸州)
ITKC_MI_0022A	송은집(松隱集)	박익(朴翊)	1332년(고려 충숙왕 복위 1)	1398년(태조 7)	밀양(密陽)
