munjip_id	문집	文集	성명	姓名	birthyear	birthyear2	deathyear	deathyear2	ancestralseat	choronym	uci	biog_id	encykorea
ITKC_MI_0001A	계원필경집	桂苑筆耕集	최치원	崔致遠	857				慶州	慶州 崔			
ITKC_MI_0002A	고운집	孤雲集	최치원	崔致遠	857				慶州	慶州 崔			
ITKC_MI_0003A	서하집	西河集	임춘	林椿					醴泉	醴泉 林	G002+AKS-KHF_12C784CD98FFFFU9999X0	PPL_5COb_A9999_1_0011442	E0047698
ITKC_MI_0004A	동국이상국집	東國李相國集	이규보	李奎報	1168		1241		驪州	驪州 李	G002+AKS-KHF_13C774ADDCBCF4B1168X0	PPL_5COc_A1168_1_0009114	E0043772
ITKC_MI_0005A	매호유고	梅湖遺稿	진화	陳澕					驪陽	驪陽 陳	G002+AKS-KHF_12C9C4D654FFFFU9999X1	PPL_5COb_A9999_1_0013275	E0055007
ITKC_MI_0006A	남양시집	南陽詩集	백비화	白賁華	1180		1224		藍浦	藍浦 白	G002+AKS-KHF_13BC31BD84D654B1180X0	PPL_5COb_A1180_1_0005049	E0022134
ITKC_MI_0007A	지포집	止浦集	김구	金坵	1211		1278		扶寧	扶寧 金		PPL_5COc_A1211_1_0001268	E0008749
ITKC_MI_0008A	동안거사집	動安居士集	이승휴	李承休	1224		1300		嘉利	嘉利 李		PPL_5COc_A1224_1_0009934	E0044965
ITKC_MI_0009A	홍애유고	洪崖遺槀	홍간	洪侃			1304		豐山	豐山 洪		PPL_5COc_A9999_1_0014671	E0063940
ITKC_MI_0010A	근재집	謹齋集	안축	安軸	1282		1348		順興	順興 安		PPL_5COc_A1287_1_0006952	E0035065
ITKC_MI_0011A	익재난고	益齋亂藁	이제현	李齊賢	1287		1367		慶州	慶州 李	G002+AKS-KHF_13C774C81CD604B1287X0	PPL_5COc_A1287_1_0010573	E0045877
ITKC_MI_0012A	졸고천백	拙藁千百	최해	崔瀣	1287		1340		慶州	慶州 崔	G002+AKS-KHF_12CD5CD574FFFFB1287X0	PPL_5COc_A1287_1_0013900	E0057747
ITKC_MI_0013A	급암시집	及菴詩集	민사평	閔思平	1295		1359		驪興	驪興 閔		PPL_5COc_A1295_1_0004015	E0020135
ITKC_MI_0014A	가정집	稼亭集	이곡	李穀	1298		1351		韓山	韓山 李	G002+AKS-KHF_12C774ACE1FFFFB1298X0	PPL_5COc_A1298_1_0009002	E0043626
ITKC_MI_0015A	설곡집	雪谷集	정포	鄭誧	1309		1345		淸州	淸州 鄭		PPL_5COc_A1309_1_0012430	E0051083
ITKC_MI_0016A	제정집	霽亭集	이달충	李達衷	1309		1385		慶州	慶州 李		PPL_5COc_A9999_1_0009246	E0043952
ITKC_MI_0017A	담암일집	淡庵逸集	백문보	白文寶	1303		1374		稷山	稷山 白		PPL_5COc_A9999_1_0005046	E0022117
ITKC_MI_0018A	둔촌잡영	遁村雜詠	이집	李集	1327		1387		廣州	廣州 李		PPL_5COc_A1314_1_0010780	E0046139
ITKC_MI_0019A	야은일고	壄隱逸稿	전녹생	田祿生	1318		1375		潭陽	潭陽 田		PPL_5COc_A1318_1_0011755	E0049331
ITKC_MI_0020A	목은고	牧隱藁	이색	李穡	1328		1396		韓山	韓山 李	G002+AKS-KHF_12C774C0C9FFFFB1328X0	PPL_5COc_A1328_1_0009700	E0044640
ITKC_MI_0021A	원재고	圓齋槀	정추	鄭樞	1333		1382		淸州	淸州 鄭		PPL_5COc_A1333_1_0016455	
ITKC_MI_0022A	송은집	松隱集	박익	朴翊	1332		1398		密陽	密陽 朴		PPL_5COc_A1332_1_0004626	E0021058
ITKC_MI_0023A	유항시집	柳巷詩集	한수	韓脩	1333		1384		淸州	淸州 韓		PPL_5COc_A1333_1_0014233	E0061774
ITKC_MI_0024A	삼봉집	三峯集	정도전	鄭道傳	1342		1398		奉化	奉化 鄭	G002+AKS-KHF_13C815B3C4C804B1342X0	PPL_6JOa_A1342_1_0011959	E0050093
ITKC_MI_0025A	포은집	圃隱集	정몽주	鄭夢周	1337		1392		迎日	迎日 鄭	G002+AKS-KHF_13C815BABDC8FCB1337X0	PPL_5COc_A1337_1_0011997	E0050190
ITKC_MI_0026A	척약재학음집	惕若齋學吟集	김구용	金九容	1338		1384		安東	安東 金	G002+AKS-KHF_13AE40AD6CC6A9B1338X0	PPL_5COc_A1338_1_0001278	E0008760
ITKC_MI_0027A	독곡집	獨谷集	성석린	成石璘	1338		1423		昌寧	昌寧 成		PPL_6JOa_A1338_1_0005693	E0029374
ITKC_MI_0028A	운곡행록	耘谷行錄	원천석	元天錫	1330				原州	原州 元	G002+AKS-KHF_13C6D0CC9CC11DB1330X0	PPL_5COc_A1330_1_0007832	E0040871
ITKC_MI_0029A	경렴정집	景濂亭集	탁광무	卓光茂	1330		1410		光州	光州 卓	G002+AKS-KHF_13D0C1AD11BB34U9999X0	PPL_5COc_A9999_1_0013996	E0058724
ITKC_MI_0030A	석탄집	石灘集	이존오	李存吾	1341		1371		慶州	慶州 李		PPL_5COc_A1341_1_0010588	E0045902
ITKC_MI_0031A	쌍매당협장집	雙梅堂篋藏集	이첨	李詹	1345		1405		新平	新平 李	G002+AKS-KHF_12C774CCA8FFFFB1345X0	PPL_6JOa_A1345_1_0010845	E0046240
ITKC_MI_0032A	송당집	松堂集	조준	趙浚	1346		1405		平壤	平壤 趙		PPL_6JOa_A1346_1_0012946	E0052623
ITKC_MI_0033A	호정집	浩亭集	하륜	河崙	1347		1416		晉州	晉州 河		PPL_6JOa_A1347_1_0014085	E0060593
ITKC_MI_0034A	도은집	陶隱集	이숭인	李崇仁	1347		1392		京山	京山 李	G002+AKS-KHF_13C774C22DC778B1347X0	PPL_5COc_A1347_1_0009902	E0044922
ITKC_MI_0035A	구정유고	龜亭遺藁	남재	南在	1351		1419		宜寧	宜寧 南		PPL_6JOa_A1351_1_0003332	E0012125
ITKC_MI_0036A	양촌집	陽村集	권근	權近	1352		1409		安東	安東 權		PPL_6JOa_A1352_1_0000774	E0006849
ITKC_MI_0037A	기우집	騎牛集	이행	李行	1352		1432		驪興	驪興 李		PPL_6JOa_A1352_1_0010986	E0046452
ITKC_MI_0038A	야은집	冶隱集	길재	吉再	1353		1419		海平	海平 吉	G002+AKS-KHF_12AE38C7ACFFFFB1353X0	PPL_6JOa_A1353_1_0001122	E0008561
ITKC_MI_0039A	복재집	復齋集	정총	鄭摠	1358		1397		淸州	淸州 鄭		PPL_6JOa_A1358_1_0012398	E0051007
ITKC_MI_0040A	인재유고	麟齋遺稿	이종학	李種學	1361		1392		韓山	韓山 李	G002+AKS-KHF_13C774C885D559B1361X0		
ITKC_MI_0041A	형재시집	亨齋詩集	이직	李稷	1362		1431		星州	星州 李		PPL_6JOa_A1362_1_0010746	E0046090
ITKC_MI_0042A	용헌집	容軒集	이원	李原	1368		1429	1430	鐵城	鐵城 李		PPL_6JOa_A1368_1_0010177	E0045335
ITKC_MI_0043A	춘정집	春亭集	변계량	卞季良	1369		1430		密陽	密陽 卞	G002+AKS-KHF_13BCC0ACC4B7C9B1369X0	PPL_6JOa_A1369_1_0005135	E0022899
