munjip_id	문집	文集	성명	姓名	birthyear	deathyear	ancestralseat	choronym
ITKC_MI_0001A	계원필경집	桂苑筆耕集	최치원	崔致遠	857		慶州	慶州 崔
ITKC_MI_0002A	고운집	孤雲集	최치원	崔致遠	857		慶州	慶州 崔
ITKC_MI_0003A	서하집	西河集	임춘	林椿			醴泉	醴泉 林
ITKC_MI_0004A	동국이상국집	東國李相國集	이규보	李奎報	1168	1241	驪州	驪州 李
ITKC_MI_0005A	매호유고	梅湖遺稿	진화	陳澕			驪陽	驪陽 陳
ITKC_MI_0006A	남양시집	南陽詩集	백비화	白賁華	1180	1224	藍浦	藍浦 白
ITKC_MI_0007A	지포집	止浦集	김구	金坵	1211	1278	扶寧	扶寧 金
ITKC_MI_0008A	동안거사집	動安居士集	이승휴	李承休	1224	1300	嘉利	嘉利 李
ITKC_MI_0009A	홍애유고	洪崖遺槀	홍간	洪侃		1304	豐山	豐山 洪
ITKC_MI_0010A	근재집	謹齋集	안축	安軸	1282	1348	順興	順興 安
ITKC_MI_0011A	익재난고	益齋亂藁	이제현	李齊賢	1287	1367	慶州	慶州 李
ITKC_MI_0012A	졸고천백	拙藁千百	최해	崔瀣	1287	1340	慶州	慶州 崔
ITKC_MI_0013A	급암시집	及菴詩集	민사평	閔思平	1295	1359	驪興	驪興 閔
ITKC_MI_0014A	가정집	稼亭集	이곡	李穀	1298	1351	韓山	韓山 李
ITKC_MI_0015A	설곡집	雪谷集	정포	鄭誧	1309	1345	淸州	淸州 鄭
ITKC_MI_0016A	제정집	霽亭集	이달충	李達衷	1309	1385	慶州	慶州 李
ITKC_MI_0017A	담암일집	淡庵逸集	백문보	白文寶	1303	1374	稷山	稷山 白
ITKC_MI_0018A	둔촌잡영	遁村雜詠	이집	李集	1327	1387	廣州	廣州 李
ITKC_MI_0019A	야은일고	壄隱逸稿	전녹생	田祿生	1318	1375	潭陽	潭陽 田
ITKC_MI_0020A	목은고	牧隱藁	이색	李穡	1328	1396	韓山	韓山 李
ITKC_MI_0021A	원재고	圓齋槀	정추	鄭樞	1333	1382	淸州	淸州 鄭
ITKC_MI_0022A	송은집	松隱集	박익	朴翊	1332	1398	密陽	密陽 朴
ITKC_MI_0023A	유항시집	柳巷詩集	한수	韓脩	1333	1384	淸州	淸州 韓
ITKC_MI_0024A	삼봉집	三峯集	정도전	鄭道傳	1342	1398	奉化	奉化 鄭
ITKC_MI_0025A	포은집	圃隱集	정몽주	鄭夢周	1337	1392	迎日	迎日 鄭
ITKC_MI_0026A	척약재학음집	惕若齋學吟集	김구용	金九容	1338	1384	安東	安東 金
ITKC_MI_0027A	독곡집	獨谷集	성석린	成石璘	1338	1423	昌寧	昌寧 成
ITKC_MI_0028A	운곡행록	耘谷行錄	원천석	元天錫	1330		原州	原州 元
ITKC_MI_0029A	경렴정집	景濂亭集	탁광무	卓光茂	1330	1410	光州	光州 卓
ITKC_MI_0030A	석탄집	石灘集	이존오	李存吾	1341	1371	慶州	慶州 李
ITKC_MI_0031A	쌍매당협장집	雙梅堂篋藏集	이첨	李詹	1345	1405	新平	新平 李
ITKC_MI_0032A	송당집	松堂集	조준	趙浚	1346	1405	平壤	平壤 趙
ITKC_MI_0033A	호정집	浩亭集	하륜	河崙	1347	1416	晉州	晉州 河
ITKC_MI_0034A	도은집	陶隱集	이숭인	李崇仁	1347	1392	京山	京山 李
ITKC_MI_0035A	구정유고	龜亭遺藁	남재	南在	1351	1419	宜寧	宜寧 南
ITKC_MI_0036A	양촌집	陽村集	권근	權近	1352	1409	安東	安東 權
ITKC_MI_0037A	기우집	騎牛集	이행	李行	1352	1432	驪興	驪興 李
ITKC_MI_0038A	야은집	冶隱集	길재	吉再	1353	1419	海平	海平 吉
ITKC_MI_0039A	복재집	復齋集	정총	鄭摠	1358	1397	淸州	淸州 鄭
ITKC_MI_0040A	인재유고	麟齋遺稿	이종학	李種學	1361	1392	韓山	韓山 李
ITKC_MI_0041A	형재시집	亨齋詩集	이직	李稷	1362	1431	星州	星州 李
ITKC_MI_0042A	용헌집	容軒集	이원	李原	1368	1429	鐵城	鐵城 李
ITKC_MI_0043A	춘정집	春亭集	변계량	卞季良	1369	1430	密陽	密陽 卞
ITKC_MI_0044A	별동집	別洞集	윤상	尹祥	1373	1455	醴泉	醴泉 尹
ITKC_MI_0045A	국당유고	菊堂遺稿	박흥생	朴興生	1374	1446	密陽	密陽 朴
ITKC_MI_0046A	인재집	寅齋集	신개	申槩	1374	1446	平山	平山 申
ITKC_MI_0047A	경재집	敬齋集	하연	河演	1376	1453	晉州	晉州 河
ITKC_MI_0048A	정재일고	貞齋逸稿	박의중	朴宜中	1337	1403	密陽	密陽 朴
ITKC_MI_0049A	단계유고	丹溪遺稿	하위지	河緯地	1412	1456	丹城	丹城 河
ITKC_MI_0050A	태재집	泰齋集	유방선	柳方善	1388	1443	瑞山	瑞山 柳
ITKC_MI_0051A	불우헌집	不憂軒集	정극인	丁克仁	1401	1481	靈光	靈光 丁
ITKC_MI_0052A	경재유고	敬齋遺稿	남수문	南秀文	1408	1442	固城	固城 南
ITKC_MI_0053A	식우집	拭疣集	김수온	金守溫	1409	1481	永同	永同 金
ITKC_MI_0054A	태허정집	太虛亭集	최항	崔恒	1409	1474	朔寧	朔寧 崔
ITKC_MI_0055A	관란유고	觀瀾遺稿	원호	元昊			原州	原州 元
ITKC_MI_0056A	눌재집	訥齋集	양성지	梁誠之	1415	1482	南原	南原 梁
ITKC_MI_0057A	저헌집	樗軒集	이석형	李石亨	1415	1477	延安	延安 李
ITKC_MI_0058A	박선생유고	朴先生遺稿	박팽년	朴彭年	1417	1456	順天	順天 朴
ITKC_MI_0059A	보한재집	保閑齋集	신숙주	申叔舟	1417	1475	高靈	高靈 申
ITKC_MI_0060A	성근보집	成謹甫集	성삼문	成三問	1418	1456	昌寧	昌寧 成
ITKC_MI_0061A	사가집	四佳集	서거정	徐居正	1420	1488	達城	達城 徐
ITKC_MI_0062A	어계집	漁溪集	조려	趙旅	1420	1489	咸安	咸安 趙
ITKC_MI_0063A	삼탄집	三灘集	이승소	李承召	1422	1484	陽城	陽城 李
ITKC_MI_0064A	사숙재집	私淑齋集	강희맹	姜希孟	1424	1483	晉州	晉州 姜
ITKC_MI_0065A	진일유고	眞逸遺藁	성간	成侃	1427	1456	昌寧	昌寧 成
ITKC_MI_0066A	점필재집	佔畢齋集	김종직	金宗直	1431	1492	善山	善山 金
ITKC_MI_0067A	소총유고	篠䕺遺稿	홍유손	洪裕孫	1452	1529	南陽	南陽 洪
ITKC_MI_0068A	소요재집	逍遙齋集	최숙정	崔淑精	1432	1480	陽川	陽川 崔
ITKC_MI_0069A	매월당집	梅月堂集	김시습	金時習	1435	1493	江陵	江陵 金
ITKC_MI_0070A	청파집	靑坡集	이륙	李陸	1438	1498	固城	固城 李
ITKC_MI_0071A	허백정집	虛白亭集	홍귀달	洪貴達	1438	1504	缶溪	缶溪 洪
ITKC_MI_0072A	허백당집	虛白堂集	성현	成俔	1439	1504	昌寧	昌寧 成
ITKC_MI_0073A	대봉집	大峯集	양희지	楊熙止	1439	1504	中和	中和 楊
ITKC_MI_0074A	격재집	格齋集	손조서	孫肇瑞			一直	一直 孫
