source	target	relationship
pm058982	pm058987	HAS_SIL_MGB
pm058979	pm058982	HAS_SON_MGB
pm058941	pm058979	HAS_SON_MGB
pm058982	pm058986	HAS_SON_MGB
pm058979	pm058982	HAS_SON_MGB
pm058941	pm058979	HAS_SON_MGB
pm058982	pm058988	HAS_SON_MGB
pm058979	pm058982	HAS_SON_MGB
pm058941	pm058979	HAS_SON_MGB
pm017831	pm017832	HAS_SON_MGB
pm017729	pm017831	HAS_SON_MGB
pm017725	pm017729	HAS_SON_MGB
pm017831	pm017984	HAS_SON_MGB
pm017729	pm017831	HAS_SON_MGB
pm017725	pm017729	HAS_SON_MGB
pm017832	pm017833	HAS_SON_MGB
pm017831	pm017832	HAS_SON_MGB
pm017729	pm017831	HAS_SON_MGB
pm017832w	pm017832	HAS_SIL_MGB
pm017832	pm017869	HAS_SON_MGB
pm017831	pm017832	HAS_SON_MGB
pm017729	pm017831	HAS_SON_MGB
pm017832w	pm017832	HAS_SIL_MGB
pm031430w	pm031430	HAS_SIL_MGB
pm031436w	pm031436	HAS_SIL_MGB
pm028729w	pm028729	HAS_SIL_MGB
pm028839w	pm028839	HAS_SIL_MGB
pm079691w	pm079691	HAS_SIL_MGB
pm033256	pm033261	HAS_SON_MGB
pm033250	pm033256	HAS_SON_MGB
pm033245	pm033250	HAS_SON_MGB
pm028859w1	pm028859	HAS_SIL_MGB
pm057392	pm057393	HAS_SON_MGB
pm057386	pm057392	HAS_SON_MGB
pm057381	pm057386	HAS_SIL_MGB
pm057386w	pm057386	HAS_SIL_MGB
pm071645	pm071648	HAS_SON_MGB
pm071643	pm071645	HAS_SON_MGB
pm071642	pm071643	HAS_SON_MGB
pm071645w	pm071645	HAS_SIL_MGB
pm071645	pm071649	HAS_SON_MGB
pm071643	pm071645	HAS_SON_MGB
pm071642	pm071643	HAS_SON_MGB
pm071645w	pm071645	HAS_SIL_MGB
pm061920	pm061924	HAS_SON_MGB
pm061911	pm061920	HAS_SON_MGB
