exam_id	name	exam_year	uci
EXM_KM_5COa_0958_000001	최섬(崔暹)	958	G002+AKS-KHF_12CD5CC12CFFFFU9999X0
EXM_KM_5COa_0958_000002	조욱(趙昱)	958	G002+AKS-KHF_12C870C6B1FFFFU9999X0
EXM_KM_5COa_0958_000003	진긍(晉兢)	958	G002+AKS-KHF_12C9C4AE0DFFFFU9999X0
EXM_KM_5COa_0960_000003	최광범(崔光範)	960	G002+AKS-KHF_13CD5CAD11BC94U9999X0
EXM_KM_5COa_0960_000004	서희(徐熙)	960	G002+AKS-KHF_12C11CD76CFFFFB0943X0
EXM_KM_5COa_0961_000005	왕거(王擧)	961	G002+AKS-KHF_12C655AC70FFFFU9999X0
EXM_KM_5COa_0964_000006	김책(金策)	964	G002+AKS-KHF_12AE40CC45FFFFU9999X0
EXM_KM_5COa_0966_000007	최거업(崔居業)	966	G002+AKS-KHF_13CD5CAC70C5C5U9999X0
EXM_KM_5COa_0972_000008	양연(楊演)	972	G002+AKS-KHF_12C591C5F0FFFFU9999X0
EXM_KM_5COa_0972_000009	유방헌(柳邦憲)	972	G002+AKS-KHF_13C720BC29D5CCB0944X0
EXM_KM_5COa_0973_000010	백사유(白思柔)	973	G002+AKS-KHF_13BC31C0ACC720U9999X0
EXM_KM_5COa_0974_000011	한인경(韓藺卿)	974	G002+AKS-KHF_13D55CC778ACBDU9999X0
EXM_KM_5COa_9999_000012	최량(崔亮)	_	G002+AKS-KHF_12CD5CB7C9FFFFD0995X0
EXM_KM_5COa_9999_000013	최성무(崔成務)	_	G002+AKS-KHF_13CD5CC131BB34U9999X0
EXM_KM_5COa_0977_000014	고응(高凝)	977	G002+AKS-KHF_12ACE0C751FFFFU9999X0
EXM_KM_5COa_0979_000015	원징연(元徵衍)	979	G002+AKS-KHF_13C6D0C9D5C5F0U9999X0
EXM_KM_5COa_9999_000016	허현(許玄)	_	G002+AKS-KHF_12D5C8D604FFFFU9999X1
EXM_KM_5COa_0983_000017	최행언(崔行言)	983	G002+AKS-KHF_13CD5CD589C5B8U9999X0
EXM_KM_5COa_0983_000018	강감찬(姜邯贊)	983	G002+AKS-KHF_13AC15AC10CC2CB0947X0
EXM_KM_5COa_0984_000019	이종(李琮)	984	G002+AKS-KHF_12C774C885FFFFU9999X2
EXM_KM_5COa_0985_000020	진량(秦亮)	985	G002+AKS-KHF_12C9C4B7C9FFFFU9999X1
EXM_KM_5COa_0986_000021	최영린(崔英藺)	986	G002+AKS-KHF_13CD5CC601B9B0U9999X1
EXM_KM_5COa_0987_000022	정우현(鄭又玄)	987	G002+AKS-KHF_13C815C6B0D604U9999X0
EXM_KM_5COa_0988_000023	이위(李緯)	988	G002+AKS-KHF_12C774C704FFFFU9999X4
EXM_KM_5COa_0989_000024	최득중(崔得中)	989	G002+AKS-KHF_13CD5CB4DDC911U9999X0
EXM_KM_5COa_0991_000025	최항(崔沆)	991	G002+AKS-KHF_12CD5CD56DFFFFB0972X0
EXM_KM_5COa_0993_000026	이유현(李維賢)	993	G002+AKS-KHF_13C774C720D604U9999X0
EXM_KM_5COa_0994_000027	최원신(崔元信)	994	G002+AKS-KHF_13CD5CC6D0C2E0U9999X0
EXM_KM_5COa_0995_000028	이자림(李子琳)	995	G002+AKS-KHF_13C655AC00B3C4D1034X0
EXM_KM_5COa_0996_000029	곽원(郭元)	996	G002+AKS-KHF_12ACFDC6D0FFFFD1029X0
EXM_KM_5COa_0996_000030	윤징고(尹徵古)	996	G002+AKS-KHF_13C724C9D5ACE0D1021X0
EXM_KM_5COa_0996_000031	서눌(徐訥)	996	G002+AKS-KHF_12C11CB20CFFFFB0972X0
EXM_KM_5COa_0997_000038	주인걸(周仁傑)	997	G002+AKS-KHF_13C8FCC778AC78U9999X0
EXM_KM_5COa_0997_000039	허원(許元)	997	G002+AKS-KHF_12D5C8C6D0FFFFU9999X0
EXM_KM_5COa_9999_000032	김심언(金審言)	_	G002+AKS-KHF_13AE40C2ECC5B8D1018X0
EXM_KM_5COa_9999_000033	전공지(田拱之)	_	G002+AKS-KHF_13C804ACF5C9C0D1014X0
EXM_KM_5COa_9999_000034	채충순(蔡忠順)	_	G002+AKS-KHF_13CC44CDA9C21CD1036X0
EXM_KM_5COa_9999_000035	손몽주(孫夢周)	_	G002+AKS-KHF_13C190BABDC8FCU9999X0
EXM_KM_5COa_9999_000036	이공(李龔)	_	G002+AKS-KHF_12C774ACF5FFFFU9999X0
EXM_KM_5COa_9999_000037	유징필(劉徵弼)	_	G002+AKS-KHF_13C720C9D5D544D1042X0
