	0	1	2	3
0	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COa_1032_240001&category=dirSer	정공지(鄭功志)	1032	G002+AKS-KHF_13C815ACF5C9C0U9999X0
1	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COa_1049_240002&category=dirSer	한복(韓復)	1049	G002+AKS-KHF_12D55CBCF5FFFFU9999X2
2	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COa_1071_240003&category=dirSer	■■■(■■■)	1071	_
3	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COa_1082_240004&category=dirSer	김의원(金義元)	1082	G002+AKS-KHF_13AE40C758C6D0B1066X0
4	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COa_1082_240005&category=dirSer	윤포(尹誧)	1082	G002+AKS-KHF_12C724D3ECFFFFB1063X0
5	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1091_240004&category=dirSer	김신(金藎)	1091	G002+AKS-KHF_12AE40C2E0FFFFU9999X3
6	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1091_240005&category=dirSer	유재(劉載)	1091	G002+AKS-KHF_12C720C7ACFFFFD1118X0
7	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1102_240006&category=dirSer	문공유(文公裕)	1102	G002+AKS-KHF_13BB38ACF5C720B1088X0
8	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1106_240005&category=dirSer	안지충(安之忠)	1106	G002+AKS-KHF_13C548C9C0CDA9U9999X0
9	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1116_240006&category=dirSer	유탄승(兪坦升)	1116	G002+AKS-KHF_13C720D0C4C2B9U9999X0
10	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1117_240007&category=dirSer	왕존(王存)	1117	G002+AKS-KHF_12C655C874FFFFU9999X0
11	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1122_240007&category=dirSer	호진경(胡晉卿)	1122	G002+AKS-KHF_13D638C9C4ACBDB1107X0
12	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1127_240008&category=dirSer	서순(徐淳)	1127	G002+AKS-KHF_12C11CC21CFFFFU9999X0
13	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1127_240009&category=dirSer	한정(韓靖)	1127	G002+AKS-KHF_12D55CC815FFFFU9999X0
14	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1127_240010&category=dirSer	고자사(高子思)	1127	G002+AKS-KHF_13ACE0C790C0ACU9999X0
15	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1127_240011&category=dirSer	허세수(許勢脩)	1127	G002+AKS-KHF_13D5C8C138C218U9999X0
16	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1127_240012&category=dirSer	이당인(李唐仁)	1127	G002+AKS-KHF_13C774B2F9C778U9999X1
17	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1127_240013&category=dirSer	최중거(崔仲居)	1127	G002+AKS-KHF_13CD5CC911AC70U9999X0
18	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1127_240014&category=dirSer	장영경(張令卿)	1127	G002+AKS-KHF_13C7A5C601ACBDU9999X0
19	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1127_240015&category=dirSer	김승온(金承溫)	1127	G002+AKS-KHF_13AE40C2B9C628U9999X0
20	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1127_240016&category=dirSer	진현광(陳玄光)	1127	G002+AKS-KHF_13C9C4D604AD11U9999X0
21	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1139_240008&category=dirSer	임경(林景)	1139	G002+AKS-KHF_12C784ACBDFFFFU9999X1
22	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1140_240009&category=dirSer	한자(韓梓)	1140	G002+AKS-KHF_12D55CC790FFFFU9999X0
23	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1141_240010&category=dirSer	탁광유(卓光裕)	1141	G002+AKS-KHF_13D0C1AD11C720U9999X0
24	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1143_240011&category=dirSer	황보존(皇甫存)	1143	G002+AKS-KHF_13D669BCF4C874U9999X0
25	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1145_240012&category=dirSer	박언유(朴彦猷)	1145	G002+AKS-KHF_13BC15C5B8C720U9999X0
26	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1146_240013&category=dirSer	김대년(金大年)	1146	G002+AKS-KHF_13AE40B300B144B9999X0
27	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1147_230014&category=dirSer	임유공(任裕公)	1147	G002+AKS-KHF_13C784C720ACF5U9999X0
28	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1147_240015&category=dirSer	박수(朴綬)	1147	G002+AKS-KHF_12BC15C218FFFFU9999X1
29	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1148_240016&category=dirSer	양충찬(梁忠贊)	1148	G002+AKS-KHF_13C591CDA9CC2CU9999X0
30	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1148_240017&category=dirSer	박유시(朴有時)	1148	G002+AKS-KHF_13BC15C720C2DCU9999X0
31	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1149_240018&category=dirSer	오광윤(吳光允)	1149	G002+AKS-KHF_13C624AD11C724U9999X0
32	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1149_240019&category=dirSer	조정시(趙挺時)	1149	G002+AKS-KHF_13C870C815C2DCU9999X0
33	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1151_240020&category=dirSer	고영근(高英瑾)	1151	G002+AKS-KHF_13ACE0C601ADFCU9999X1
34	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1151_240021&category=dirSer	하정재(河挺材)	1151	G002+AKS-KHF_13D558C815C7ACU9999X0
35	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1151_240022&category=dirSer	오세재(吳世才)	1151	G002+AKS-KHF_13C624C138C7ACB1133X0
36	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1152_230022&category=dirSer	오세문(吳世文)	1152	G002+AKS-KHF_13C624C138BB38U9999X0
37	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1153_240023&category=dirSer	김세뢰(金世頼)	1153	G002+AKS-KHF_13AE40C138B8B0U9999X0
38	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1153_240024&category=dirSer	이동수(李東粹)	1153	G002+AKS-KHF_13C774B3D9C218U9999X0
39	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1154_240025&category=dirSer	박세남(朴世南)	1154	G002+AKS-KHF_13BC15C138B0A8U9999X0
40	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1154_240026&category=dirSer	김우(金遇)	1154	G002+AKS-KHF_12AE40C6B0FFFFU9999X2
41	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1155_240027&category=dirSer	김단보(金端寶)	1155	G002+AKS-KHF_13AE40B2E8BCF4U9999X0
42	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1155_240028&category=dirSer	황문장(黃文莊)	1155	G002+AKS-KHF_13D669BB38C7A5U9999X0
43	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1155_240101&category=dirSer	유공권(柳公權)	1155	G002+AKS-KHF_13C720ACF5AD8CB1132X0
44	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1157_240029&category=dirSer	이양수(李陽秀)	1157	G002+AKS-KHF_13C774C591C218U9999X0
45	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1158_230030&category=dirSer	윤돈서(尹敦叙)	1158	G002+AKS-KHF_13C724B3C8C11CU9999X0
46	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1159_240031&category=dirSer	■■■(■■■)	1159	_
47	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1161_240032&category=dirSer	고극중(高克中)	1161	G002+AKS-KHF_13ACE0ADF9C911U9999X0
48	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1163_240033&category=dirSer	정성택(鄭成澤)	1163	G002+AKS-KHF_13C815C131D0DDU9999X0
49	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1164_240034&category=dirSer	김모직(金謀直)	1164	G002+AKS-KHF_13AE40BAA8C9C1U9999X0
