exam_id	name	exam_year	uci
EXM_MU_6JOa_1453_000001	김계원(金繼元)	1453	G002+AKS-KHF_13AE40ACC4C6D0U9999X0
EXM_MU_6JOa_1453_000002	오익창(吳益昌)	1453	G002+AKS-KHF_13C624C775CC3DU9999X0
EXM_MU_6JOa_1453_000003	이근우(李近愚)	1453	G002+AKS-KHF_13C774ADFCC6B0U9999X0
EXM_MU_6JOa_1453_000004	최령(崔令)	1453	G002+AKS-KHF_12CD5CB839FFFFU9999X0
EXM_MU_6JOa_1453_000005	○○○(○○○)	1453	_
EXM_MU_6JOa_1453_000006	○○○(○○○)	1453	_
EXM_MU_6JOa_1453_000007	강근손(姜謹孫)	1453	G002+AKS-KHF_13AC15ADFCC190U9999X0
EXM_MU_6JOa_1453_000008	한계사(韓繼思)	1453	G002+AKS-KHF_13D55CACC4C0ACU9999X0
EXM_MU_6JOa_1453_000009	최윤(崔潤)	1453	G002+AKS-KHF_12CD5CC724FFFFU9999X0
EXM_MU_6JOa_1453_000010	이수붕(李壽朋)	1453	G002+AKS-KHF_13C774C218BD95U9999X0
EXM_MU_6JOa_1453_000011	김석종(金錫宗)	1453	G002+AKS-KHF_13AE40C11DC885U9999X0
EXM_MU_6JOa_1453_000012	신흥례(申興禮)	1453	G002+AKS-KHF_13C2E0D765B840U9999X0
EXM_MU_6JOa_1453_000013	강전(姜專)	1453	G002+AKS-KHF_12AC15C804FFFFU9999X1
EXM_MU_6JOa_1453_000014	권효신(權孝信)	1453	G002+AKS-KHF_13AD8CD6A8C2E0U9999X0
EXM_MU_6JOa_1453_000015	전계원(全繼元)	1453	G002+AKS-KHF_13C804ACC4C6D0U9999X0
EXM_MU_6JOa_1453_000016	서○○(徐○○)	1453	G002+AKS-KHF_13C11CFFFFFFFFU9999X1
EXM_MU_6JOa_1453_000017	○○○(○○○)	1453	_
EXM_MU_6JOa_1453_000018	○○○(○○○)	1453	_
EXM_MU_6JOa_1453_000019	이지정(李之楨)	1453	G002+AKS-KHF_13C774C9C0C815U9999X0
EXM_MU_6JOa_1453_000020	인진(印珍)	1453	G002+AKS-KHF_12C778C9C4FFFFU9999X0
EXM_MU_6JOa_1453_000021	전자완(全自完)	1453	G002+AKS-KHF_13C804C790C644U9999X0
EXM_MU_6JOa_1453_000022	황진손(黃振孫)	1453	G002+AKS-KHF_13D669C9C4C190U9999X0
EXM_MU_6JOa_1453_000023	이청신(李淸新)	1453	G002+AKS-KHF_13C774CCADC2E0U9999X0
EXM_MU_6JOa_1453_000024	김효손(金孝孫)	1453	G002+AKS-KHF_13AE40D6A8C190U9999X0
EXM_MU_6JOa_1453_000025	이인휴(李仁畦)	1453	G002+AKS-KHF_13C774C778ADDCU9999X0
EXM_MU_6JOa_1453_000026	정승중(鄭承重)	1453	G002+AKS-KHF_13C815C2B9C911U9999X0
EXM_MU_6JOa_1453_000027	정종아(鄭從雅)	1453	G002+AKS-KHF_13C815C885C544B1425X0
EXM_MU_6JOa_1453_000028	박부(朴桴)	1453	G002+AKS-KHF_12BC15BD80FFFFU9999X0
EXM_MU_6JOa_1471_000029	김확(金確)	1471	G002+AKS-KHF_12AE40D655FFFFU9999X2
EXM_MU_6JOa_1471_000030	황사공(黃事恭)	1471	G002+AKS-KHF_13D669C0ACACF5U9999X0
EXM_MU_6JOa_1471_000031	이수(李穗)	1471	G002+AKS-KHF_12C774C218FFFFB1444X0
EXM_MU_6JOa_1471_000032	장처인(蔣處仁)	1471	G002+AKS-KHF_13C7A5CC98C778U9999X0
EXM_MU_6JOa_1471_000033	강팽수(姜彭壽)	1471	G002+AKS-KHF_13AC15D33DC218U9999X0
EXM_MU_6JOa_1471_000034	배찬(裵燦)	1471	G002+AKS-KHF_12BC30CC2CFFFFU9999X0
EXM_MU_6JOa_1471_000035	이강(李杠)	1471	G002+AKS-KHF_12C774AC15FFFFU9999X1
EXM_MU_6JOa_1471_000036	장계손(張季孫)	1471	G002+AKS-KHF_13C7A5ACC4C190U9999X0
EXM_MU_6JOa_1471_000037	황중손(黃仲孫)	1471	G002+AKS-KHF_13D669C911C190U9999X0
EXM_MU_6JOa_1471_000038	이자강(李自江)	1471	G002+AKS-KHF_13C774C790AC15U9999X0
EXM_MU_6JOa_1471_000039	장일신(張日新)	1471	G002+AKS-KHF_13C7A5C77CC2E0U9999X0
EXM_MU_6JOa_1471_000040	손양(孫陽)	1471	G002+AKS-KHF_12C190C591FFFFU9999X1
EXM_MU_6JOa_1471_000041	남좌명(南佐明)	1471	G002+AKS-KHF_13B0A8C88CBA85U9999X0
EXM_MU_6JOa_1471_000042	임치산(林峙山)	1471	G002+AKS-KHF_13C784CE58C0B0U9999X0
EXM_MU_6JOa_1471_000043	정원신(鄭元愼)	1471	G002+AKS-KHF_13C815C6D0C2E0U9999X0
EXM_MU_6JOa_1471_000044	박개주(朴介柱)	1471	G002+AKS-KHF_13BC15AC1CC8FCU9999X0
EXM_MU_6JOa_1471_000045	윤신(尹莘)	1471	G002+AKS-KHF_12C724C2E0FFFFU9999X0
EXM_MU_6JOa_1483_150001	정홍손(鄭洪孫)	1483	G002+AKS-KHF_13C815D64DC190U9999X0
EXM_MU_6JOa_1483_150002	김한손(金漢孫)	1483	G002+AKS-KHF_13AE40D55CC190U9999X0
EXM_MU_6JOa_1483_150003	전세정(錢世禎)	1483	G002+AKS-KHF_13C804C138C815U9999X0
EXM_MU_6JOa_1483_150004	김윤제(金允濟)	1483	G002+AKS-KHF_13AE40C724C81CU9999X0
EXM_MU_6JOa_1483_150005	조원우(趙元祐)	1483	G002+AKS-KHF_13C870C6D0C6B0U9999X0
EXM_MU_6JOa_1483_150006	김승순(金承淳)	1483	G002+AKS-KHF_13AE40C2B9C21CU9999X1
EXM_MU_6JOa_1483_150007	이선문(李宣文)	1483	G002+AKS-KHF_13C774C120BB38U9999X0
EXM_MU_6JOa_1483_150008	박유인(朴有仁)	1483	G002+AKS-KHF_13BC15C720C778U9999X1
EXM_MU_6JOa_1483_150009	민녕(閔寧)	1483	G002+AKS-KHF_12BBFCB155FFFFU9999X0
EXM_MU_6JOa_1483_150010	권현령(權玄齡)	1483	G002+AKS-KHF_13AD8CD604B839U9999X0
EXM_MU_6JOa_1483_150011	김석철(金錫哲)	1483	G002+AKS-KHF_13AE40C11DCCA0U9999X0
EXM_MU_6JOa_1483_150012	정종함(鄭從咸)	1483	G002+AKS-KHF_13C815C885D568U9999X0
EXM_MU_6JOa_1483_150013	채윤혜(蔡允惠)	1483	G002+AKS-KHF_13CC44C724D61CU9999X0
EXM_MU_6JOa_1483_150014	장경(張經)	1483	G002+AKS-KHF_12C7A5ACBDFFFFU9999X0
EXM_MU_6JOa_1483_150015	옥형(玉衡)	1483	G002+AKS-KHF_12C625D615FFFFU9999X0
EXM_MU_6JOa_1483_150016	김자치(金自治)	1483	G002+AKS-KHF_13AE40C790CE58U9999X0
EXM_MU_6JOa_1483_150017	김정로(金正路)	1483	G002+AKS-KHF_13AE40C815B85CU9999X0
EXM_MU_6JOa_1483_150018	허혜(許譓)	1483	G002+AKS-KHF_12D5C8D61CFFFFU9999X0
EXM_MU_6JOa_1483_150019	송걸(宋傑)	1483	G002+AKS-KHF_12C1A1AC78FFFFU9999X0
EXM_MU_6JOa_1483_150020	송사은(宋嗣殷)	1483	G002+AKS-KHF_13C1A1C0ACC740U9999X0
EXM_MU_6JOa_1483_150021	하호(河顥)	1483	G002+AKS-KHF_12D558D638FFFFU9999X0
EXM_MU_6JOa_1483_150022	이시손(李始孫)	1483	G002+AKS-KHF_13C774C2DCC190U9999X0
